,Closing Price,Open Price,High price,Low Price
877,19012.2,19070.74,19070.74,18985.75
878,19627.75,19198.09,19640.28,19173.29
879,19686.92,19651.59,19726.84,19577.07
880,19942.95,19842.46,19956.54,19776.32
881,20110.37,20161.72,20161.72,19927.88
882,20439.14,20453.47,20453.47,20301.59
883,20501.67,20443.46,20590.8,20384.05
884,20160.41,20518.0,20518.0,20144.95
885,20390.49,20326.49,20465.89,20219.27
886,20333.37,20394.67,20534.22,20269.51
887,20739.45,20638.96,20761.7,20564.97
888,20756.98,20680.71,20796.74,20639.49
889,20709.94,21015.55,21015.55,20633.13
890,20699.19,20808.05,20881.85,20649.27
891,21018.46,20827.89,21023.33,20755.73
892,21010.01,20922.29,21053.06,20787.84
893,20783.86,20986.25,21002.33,20703.79
894,20887.4,20718.8,20969.8,20673.96
895,20917.83,20845.24,20947.95,20813.53
896,21365.23,20993.58,21403.28,20933.39
897,21277.28,21266.51,21317.72,21157.55
898,21491.62,21503.59,21546.73,21381.69
899,21424.79,21760.34,21760.34,21393.48
900,21478.72,21434.31,21480.34,21221.39
901,21549.28,21339.02,21569.74,21302.19
902,21380.99,21356.53,21428.5,21325.56
903,21406.86,21438.97,21468.93,21292.4
904,21217.86,21381.66,21589.02,21076.52
905,21568.73,21303.39,21583.07,21273.99
906,21680.08,21643.85,21716.76,21525.91
907,21387.96,21578.19,21641.14,21338.29
908,21562.26,21618.15,21623.24,21531.93
909,21265.31,21518.03,21578.76,21230.61
910,20806.25,21173.74,21173.74,20789.36
911,20627.78,20521.96,20732.87,20521.96
912,20900.73,20722.95,20909.71,20681.09
913,21086.0,20930.93,21209.79,20917.68
914,21134.18,21073.59,21170.55,20924.36
915,21339.7,21279.41,21427.12,21261.32
916,21307.89,21564.21,21638.32,21263.02
917,21353.53,21323.06,21368.48,21162.17
918,21317.85,21350.25,21438.62,21253.39
919,21115.29,21454.01,21454.01,21075.38
920,20888.24,21183.04,21183.04,20786.69
921,20856.63,20948.13,20993.48,20756.03
922,20901.56,20886.12,20978.49,20801.79
923,20668.8,20740.56,20742.7,20596.89
924,20668.86,20672.37,20776.36,20580.72
925,21046.91,20921.8,21063.38,20896.19
926,20885.42,20959.98,20989.58,20798.09
927,20609.39,20720.34,20720.34,20527.26
928,20555.58,20380.06,20566.09,20374.03
929,20522.26,20662.97,20662.97,20417.69
930,20790.98,20704.15,20816.09,20588.2
931,20593.0,20479.27,20670.2,20404.15
932,20356.24,20387.43,20472.96,20297.39
933,20140.67,20092.96,20188.56,20035.68
934,20327.32,20179.72,20360.48,20138.02
935,20701.04,20640.5,20719.04,20574.35
936,20610.64,20516.09,20625.45,20514.09
937,20562.31,20678.04,20678.04,20392.57
938,20780.73,20800.21,20862.32,20715.94
939,20995.01,20767.46,20995.01,20767.46
940,21010.64,20933.27,21076.43,20881.62
941,20624.39,20970.96,20970.96,20624.39
942,20677.16,20606.17,20771.79,20534.13
943,20646.29,20751.54,20751.82,20584.98
944,20809.71,20753.18,20826.91,20674.94
945,20741.45,20916.08,20929.96,20648.77
946,21094.21,20889.77,21105.57,20889.77
947,21309.08,21245.48,21385.3,21237.17
948,21249.53,21209.44,21256.81,21153.63
949,21086.0,21107.19,21170.64,21061.14
950,20536.65,20658.41,20674.45,20477.86
951,20484.75,20647.38,20647.38,20399.38
952,20330.64,20361.55,20371.66,20257.61
953,20227.28,20313.97,20375.04,20091.68
954,19964.63,20083.27,20083.27,19901.41
955,19735.04,20037.52,20044.69,19715.51
956,19894.31,19702.54,19923.19,19639.85
957,19259.83,19655.34,19655.34,19181.19
958,19200.93,19369.43,19452.3,19139.73
959,18951.85,18787.0,18985.43,18622.31
960,18922.32,18902.0,18953.68,18796.69
961,19039.15,19061.42,19182.66,19002.64
962,18786.19,18842.32,18845.84,18661.48
963,18666.4,18755.09,18835.81,18654.76
964,18713.41,18734.38,18778.44,18577.09
965,18800.99,18672.32,18858.32,18672.32
966,19055.46,18735.5,19058.47,18735.5
967,18690.22,18897.12,18897.12,18604.45
968,18629.52,18470.77,18657.9,18378.14
969,18558.34,18498.91,18726.44,18487.66
970,18185.59,18249.61,18249.61,18056.4
971,18259.03,18373.22,18412.02,18223.13
972,18520.53,18349.68,18521.57,18320.61
973,18678.29,18825.5,18845.57,18624.43
974,18502.34,18797.94,18797.94,18461.18
975,18953.63,18978.88,18978.88,18847.67
976,18872.56,18719.89,18925.79,18708.26
977,19026.52,18948.45,19029.55,18812.94
978,18808.4,18901.71,18937.54,18795.65
979,19233.94,18924.09,19254.56,18919.17
980,19427.81,19578.13,19578.13,19395.93
981,19416.67,19451.2,19472.05,19320.18
982,19518.85,19551.89,19578.82,19469.13
983,19265.07,19480.71,19495.54,19258.11
984,18995.13,18992.9,19089.45,18976.05
985,18897.45,19019.03,19066.75,18861.56
986,18981.84,18850.47,18998.47,18850.47
987,19176.95,18990.17,19213.92,18942.0
988,19025.27,19305.74,19305.74,19009.26
989,19441.46,18996.57,19510.77,18991.1
990,19735.53,19765.41,19765.41,19622.37
991,19709.75,19833.84,19835.13,19677.45
992,19809.13,19757.42,19869.11,19588.63
993,19800.64,19752.83,19839.12,19690.64
994,19428.09,19634.84,19737.92,19421.75
995,19396.36,19504.42,19515.89,19347.23
996,19419.87,19264.58,19441.12,19233.76
997,19025.11,19356.79,19356.79,18998.3
998,19092.63,19069.36,19160.49,19032.59
999,19121.34,19107.05,19265.34,19061.67
1000,19455.33,19156.96,19479.28,19156.96
1001,19239.88,19452.24,19452.24,19134.57
1002,19559.05,19393.45,19600.32,19393.45
1003,19640.8,19613.78,19656.11,19511.9
1004,19053.47,19259.36,19259.36,18986.2
1005,18903.2,19078.14,19124.96,18854.32
1006,18877.33,18762.2,18925.66,18710.59
1007,18892.79,18870.33,18961.58,18793.15
1008,19274.96,19165.03,19330.69,19162.53
1009,19585.4,19505.03,19593.62,19478.7
1010,19796.81,19661.41,19840.16,19618.57
1011,19820.38,19646.96,19898.92,19646.96
1012,19690.2,19784.15,19786.71,19651.76
1013,19666.18,19553.79,19673.7,19454.33
1014,19998.72,20052.5,20091.3,19978.65
1015,20072.55,20033.87,20117.12,19983.76
1016,20065.52,20188.88,20188.88,19966.12
1017,20269.47,20149.2,20300.03,20149.2
1018,20136.12,20204.71,20222.13,20045.3
1019,20081.36,20188.48,20188.48,20037.81
1020,20291.68,20251.42,20299.72,20094.02
1021,20052.29,20125.29,20135.0,20016.03
1022,19962.95,20151.69,20151.69,19919.56
1023,20116.07,20057.31,20147.39,20047.64
1024,20104.27,20080.32,20109.56,19911.49
1025,20100.09,20111.97,20141.16,19979.58
1026,19887.78,19996.73,19996.73,19853.42
1027,20132.24,19935.13,20133.41,19935.13
1028,19880.03,19930.45,19930.45,19840.19
1029,19798.67,19939.54,19939.54,19769.43
1030,19811.8,19723.3,19856.32,19723.3
1031,19788.51,19857.61,19863.47,19770.54
1032,19552.91,19657.2,19657.2,19509.31
1033,19482.57,19516.95,19554.26,19450.77
1034,19559.21,19414.62,19608.55,19386.04
1035,19429.91,19540.93,19572.31,19414.51
1036,19145.07,19330.16,19330.16,19116.84
1037,19209.3,19101.93,19216.08,19076.79
1038,19802.16,19537.93,19829.02,19484.24
1039,19827.17,19876.41,19930.37,19764.69
1040,19857.88,19757.37,19907.3,19658.71
1041,20075.39,19996.14,20118.19,19996.14
1042,20047.63,20061.97,20146.77,20009.5
1043,20629.78,20479.38,20648.1,20475.74
1044,20658.11,20758.49,20758.49,20591.44
1045,20601.93,20622.12,20712.69,20568.12
1046,20841.91,20609.52,20895.61,20609.52
